time,n0v,n1v
74,-54.8224,-66.5541
74.1,-54.8265,-66.5298
74.2,-54.8307,-66.5044
74.3,-54.8351,-66.4795
74.4,-54.8353,-66.4545
74.5,-54.836,-66.4287
74.6,-54.8397,-66.4028
74.7,-54.8464,-66.377
74.8,-54.8504,-66.3508
74.9,-54.8517,-66.3256
75,-54.8505,-66.3
75.1,-54.8566,-66.2736
75.2,-54.859,-66.2478
75.3,-54.8585,-66.2214
75.4,-54.8622,-66.1951
75.5,-54.8649,-66.1686
75.6,-54.8667,-66.1415
75.7,-54.873,-66.1153
75.8,-54.8746,-66.0892
75.9,-54.8778,-66.0615
76,-54.8839,-66.0338
76.1,-54.8824,-66.0071
76.2,-54.8845,-65.9792
76.3,-54.8836,-65.9519
76.4,-54.8825,-65.9242
76.5,-54.8847,-65.8966
76.6,-54.8883,-65.8686
76.7,-54.8915,-65.8396
76.8,-54.8948,-65.8115
76.9,-54.8995,-65.7829
77,-54.9025,-65.7541
77.1,-54.9033,-65.7257
77.2,-54.9098,-65.6961
77.3,-54.913,-65.667
77.4,-54.9081,-65.6378
77.5,-54.9105,-65.6083
77.6,-54.9136,-65.5793
77.7,-54.9194,-65.5497
77.8,-54.9217,-65.5194
77.9,-54.9236,-65.4895
78,-54.9253,-65.4597
78.1,-54.9281,-65.4296
78.2,-54.9275,-65.3995
78.3,-54.9288,-65.3687
78.4,-54.9289,-65.3381
78.5,-54.9256,-65.3071
78.6,-54.9282,-65.2761
78.7,-54.9295,-65.2452
78.8,-54.9309,-65.2138
78.9,-54.9311,-65.1823
79,-54.9308,-65.1505
79.1,-54.9315,-65.1188
79.2,-54.9314,-65.0868
79.3,-54.9327,-65.0547
79.4,-54.9324,-65.0223
79.5,-54.9309,-64.9899
79.6,-54.9329,-64.9572
79.7,-54.9339,-64.9244
79.8,-54.9345,-64.8914
79.9,-54.9353,-64.8582
80,-54.9363,-64.8248
80.1,-54.9414,-64.7912
80.2,-54.9432,-64.7575
80.3,-54.9443,-64.7235
80.4,-54.9378,-64.6898
80.5,-54.9343,-64.6554
80.6,-54.9351,-64.621
80.7,-54.9388,-64.5864
80.8,-54.9417,-64.5518
80.9,-54.9404,-64.5169
81,-54.9446,-64.4817
81.1,-54.9482,-64.4459
81.2,-54.9484,-64.4104
81.3,-54.9508,-64.3746
81.4,-54.9487,-64.3386
81.5,-54.9472,-64.3019
81.6,-54.9504,-64.2656
81.7,-54.9541,-64.2288
81.8,-54.9567,-64.1913
81.9,-54.9588,-64.1537
82,-54.9564,-64.1157
82.1,-54.96,-64.0777
82.2,-54.9606,-64.0401
82.3,-54.9633,-64.003
82.4,-54.9654,-63.9656
82.5,-54.9641,-63.9264
82.6,-54.9668,-63.8878
82.7,-54.9652,-63.8483
82.8,-54.9676,-63.8083
82.9,-54.9677,-63.7682
83,-54.9651,-63.7283
83.1,-54.9659,-63.6885
83.2,-54.9641,-63.6492
83.3,-54.9646,-63.6087
83.4,-54.9602,-63.568
83.5,-54.9606,-63.5268
83.6,-54.9615,-63.4858
83.7,-54.9626,-63.4444
83.8,-54.9629,-63.4019
83.9,-54.9654,-63.3608
84,-54.9664,-63.3188
84.1,-54.9685,-63.2762
84.2,-54.9759,-63.2341
84.3,-54.9786,-63.1906
84.4,-54.9772,-63.1465
84.5,-54.9775,-63.1035
84.6,-54.9766,-63.0576
84.7,-54.9766,-63.0124
84.8,-54.9766,-62.9674
84.9,-54.9788,-62.9207
85,-54.9817,-62.8746
85.1,-54.986,-62.8286
85.2,-54.9845,-62.7823
85.3,-54.988,-62.735
85.4,-54.9896,-62.6878
85.5,-54.9864,-62.6417
85.6,-54.9875,-62.5941
85.7,-54.994,-62.5459
85.8,-54.9933,-62.4972
85.9,-54.9887,-62.4473
86,-54.989,-62.3988
86.1,-54.9868,-62.3508
86.2,-54.9869,-62.3009
86.3,-54.9844,-62.249
86.4,-54.985,-62.1978
86.5,-54.9802,-62.1455
86.6,-54.9805,-62.094
86.7,-54.9795,-62.0415
86.8,-54.9808,-61.9901
86.9,-54.9808,-61.9369
87,-54.9829,-61.8849
87.1,-54.9851,-61.8292
87.2,-54.9863,-61.7737
87.3,-54.9837,-61.7178
87.4,-54.9827,-61.6591
87.5,-54.9833,-61.6023
87.6,-54.9826,-61.5471
87.7,-54.9824,-61.4866
87.8,-54.9816,-61.4272
87.9,-54.9811,-61.3671
88,-54.9823,-61.3019
88.1,-54.982,-61.2397
88.2,-54.984,-61.1799
88.3,-54.9845,-61.1125
88.4,-54.9886,-61.048
88.5,-54.989,-60.9864
88.6,-54.9901,-60.9238
88.7,-54.9883,-60.8552
88.8,-54.9912,-60.7863
88.9,-54.9896,-60.7202
89,-54.9911,-60.6508
89.1,-54.9918,-60.579
89.2,-54.9953,-60.5087
89.3,-54.9906,-60.434
89.4,-54.9884,-60.3652
