time,n0v,n1v
79,-61.4883,-63.8252
79.1,-61.4731,-63.7981
79.2,-61.4575,-63.7719
79.3,-61.4426,-63.7451
79.4,-61.4271,-63.7179
79.5,-61.4113,-63.6916
79.6,-61.3967,-63.664
79.7,-61.3819,-63.6362
79.8,-61.367,-63.6077
79.9,-61.3522,-63.5785
80,-61.3375,-63.5493
80.1,-61.3244,-63.5195
80.2,-61.3101,-63.4902
80.3,-61.2956,-63.4596
80.4,-61.2783,-63.4313
80.5,-61.2622,-63.4002
80.6,-61.2477,-63.3698
80.7,-61.2344,-63.3391
80.8,-61.2209,-63.3086
80.9,-61.2058,-63.2776
81,-61.1928,-63.2458
81.1,-61.1797,-63.2124
81.2,-61.1652,-63.1804
81.3,-61.1517,-63.1475
81.4,-61.1365,-63.1145
81.5,-61.1215,-63.08
81.6,-61.1084,-63.0465
81.7,-61.0955,-63.012
81.8,-61.0823,-62.9762
81.9,-61.0689,-62.9401
82,-61.0537,-62.9033
82.1,-61.041,-62.8668
82.2,-61.0271,-62.8316
82.3,-61.0141,-62.7974
82.4,-61.0009,-62.7627
82.5,-60.9863,-62.7243
82.6,-60.9734,-62.6874
82.7,-60.9589,-62.6488
82.8,-60.9459,-62.6092
82.9,-60.9321,-62.5696
83,-60.9172,-62.5305
83.1,-60.9038,-62.4917
83.2,-60.8893,-62.4539
83.3,-60.8759,-62.4141
83.4,-60.8604,-62.3739
83.5,-60.847,-62.3328
83.6,-60.8339,-62.2922
83.7,-60.8209,-62.251
83.8,-60.8076,-62.2078
83.9,-60.7953,-62.1674
84,-60.7823,-62.1251
84.1,-60.7699,-62.0822
84.2,-60.7597,-62.0399
84.3,-60.7476,-61.9955
84.4,-60.7337,-61.95
84.5,-60.7206,-61.9064
84.6,-60.707,-61.8581
84.7,-60.6937,-61.8111
84.8,-60.6806,-61.7642
84.9,-60.6684,-61.7147
85,-60.6567,-61.6662
85.1,-60.6455,-61.6178
85.2,-60.6318,-61.569
85.3,-60.6203,-61.5187
85.4,-60.6081,-61.4684
85.5,-60.5937,-61.4198
85.6,-60.5812,-61.369
85.7,-60.5712,-61.317
